Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
1507.01089.txt;53;10250;7496;1362;859
1402.3631.txt;71;13061;10410;1414;866
1502.04634.txt;67;12602;10254;1629;984
1109.2984.txt;63;11923;9002;1524;966
1304.1572.txt;39;6728;5742;1293;821
1412.5374.txt;46;9105;6851;1050;667
1310.4345.txt;65;11672;10183;1497;884
1503.01404.txt;24;5318;3874;591;375
1508.00688.txt;13;2032;1717;573;374
1402.2016.txt;45;7479;6385;1366;842
1401.5277.txt;202;40429;29628;2792;1575
1506.08544.txt;132;22023;18476;2762;1640
1508.04417.txt;48;7262;6261;1633;1053
1510.01210.txt;94;17664;14157;1658;977
1308.4201.txt;55;9963;8313;1328;829
1511.06033.txt;70;11454;9683;2024;1262
1501.01042.txt;81;14424;13286;1674;961
1511.06382.txt;40;6304;5521;1163;738
1001.1435.txt;31;4883;4338;1273;794
1008.0851.txt;75;12782;10999;1682;1024
1408.0948.txt;41;8002;6240;1035;656
1508.06269.txt;103;20380;16265;1821;1060
1506.08235.txt;71;12159;11090;1772;1173
1502.06761.txt;148;28638;22085;2057;1135
1411.7087.txt;74;15659;11125;1123;659
1502.02481.txt;85;16269;14179;1534;917
1306.5585.txt;45;8850;7745;1338;851
1408.0848.txt;68;11462;9374;1736;1099
0808.0084.txt;52;10186;8462;1139;711
1507.02103.txt;48;8882;6874;1354;883
1504.00222.txt;45;7926;6409;1256;791
1501.06297.txt;36;6027;4941;1302;843
1407.2988.txt;87;15907;12623;1930;1199
1303.5613.txt;63;10160;8809;1975;1269
1311.3158.txt;154;29680;23160;2083;1213
1503.03185.txt;45;7921;6831;1501;935
1408.1868.txt;45;9470;6971;630;374
1411.2419.txt;36;8202;4982;826;523
1301.7023.txt;27;4939;4196;1003;622
1507.03348.txt;42;8579;7040;921;554
1504.04867.txt;22;3204;2997;1132;767
1511.07860.txt;64;12084;9938;1506;936
1507.02184.txt;151;32229;24216;1874;1064
1502.08010.txt;23;4562;3577;645;395
1509.04037.txt;85;14541;12333;2215;1409
1302.4118.txt;21;3847;3168;834;540
1203.6286.txt;53;10133;8286;1036;641
1412.2231.txt;47;9139;6669;1080;677
1508.03117.txt;51;9565;7212;1197;745
1410.5920.txt;35;6744;5150;984;619
